127.0.0.1 - - [17/Jun/2021:13:25:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Jun/2021:13:25:50 +0900] "GET /ex01/study.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [17/Jun/2021:13:26:20 +0900] "GET /ex01/study.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [17/Jun/2021:13:26:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Jun/2021:13:39:25 +0900] "GET /ex01/study.jsp HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [17/Jun/2021:13:41:15 +0900] "GET /ex01/study.jsp HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [17/Jun/2021:13:43:28 +0900] "GET /ex01/study.jsp HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [17/Jun/2021:14:30:29 +0900] "GET /ex01/study.jsp HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [17/Jun/2021:15:55:27 +0900] "GET /ex01/study.jsp HTTP/1.1" 200 1740
0:0:0:0:0:0:0:1 - - [17/Jun/2021:15:56:32 +0900] "GET /ex01/study.jsp HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [17/Jun/2021:16:06:14 +0900] "GET /ex01/study.jsp HTTP/1.1" 200 1967
