127.0.0.1 - - [24/Jun/2021:14:43:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Jun/2021:14:43:58 +0900] "GET /ex01/index.html HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [24/Jun/2021:14:43:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Jun/2021:14:44:27 +0900] "GET /ex01/index.html HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [24/Jun/2021:14:47:35 +0900] "GET /ex01/index.html HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [24/Jun/2021:14:47:36 +0900] "GET /ex01/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2021:14:47:36 +0900] "GET /ex01/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2021:14:47:57 +0900] "GET /ex01/index.html HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [24/Jun/2021:14:47:57 +0900] "GET /ex01/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2021:14:47:58 +0900] "GET /ex01/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2021:14:47:58 +0900] "GET /ex01/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2021:14:47:58 +0900] "GET /ex01/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2021:14:47:59 +0900] "GET /ex01/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2021:14:47:59 +0900] "GET /ex01/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2021:14:48:34 +0900] "GET /ex01/index.html HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [24/Jun/2021:14:48:51 +0900] "GET /ex01/index.html HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [24/Jun/2021:14:48:52 +0900] "GET /ex01/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2021:14:48:52 +0900] "GET /ex01/index.html HTTP/1.1" 304 -
