0:0:0:0:0:0:0:1 - - [25/Jun/2021:16:16:40 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [25/Jun/2021:16:17:51 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [25/Jun/2021:16:17:51 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [25/Jun/2021:16:24:51 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 2065
0:0:0:0:0:0:0:1 - - [25/Jun/2021:16:24:51 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 2065
0:0:0:0:0:0:0:1 - - [25/Jun/2021:17:01:49 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 3320
0:0:0:0:0:0:0:1 - - [25/Jun/2021:17:01:49 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 3320
0:0:0:0:0:0:0:1 - - [25/Jun/2021:17:22:01 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 3543
0:0:0:0:0:0:0:1 - - [25/Jun/2021:17:22:01 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 3543
0:0:0:0:0:0:0:1 - - [25/Jun/2021:17:43:39 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 4306
0:0:0:0:0:0:0:1 - - [25/Jun/2021:17:43:39 +0900] "GET /ex01/arrow.html HTTP/1.1" 200 4306
